word	ch	gl	ex	rank	level
cốc		a glassful	a glassful (of champagne: cốc rượu sâm banh; of wine: cốc rượu; of water: cốc nước)	13	A
con	昆, 𡥵	an animal	an animal	17	A
nhà	伽, 茄, 茹, 家	a house, a building, a houseful	a house, building (inn: nhà trọ; etc.), a houseful (of paddy: nhà thóc)	27	A
số	數	a sum	a sum (of money: số tiên)	63	A
đồng		a coin	a coin (for a half-penny: đồng chinh; for a penny: đồng xu; for a dime: đồng hào; for 20 cents: đồng ván; for a piastre: đồng bạc); a  piastre’s worth of	76	A
kỳ		a session	a session (of a meeting: kỳ hội đồng); an examination (kỳ thi)	90	A
bộ	部	a set	a set (suit of clothes: bộ quần áo; furniture set: bộ bàn ghế)	97	A
viên	圓	a pill, a tablet, a bullet, a brick, a tile	a pill, a tablet (viên thuốc), a bullet (viên đạn), a brick (viên gạch), a tile (viên ngói)	98	A
cuộc	局	a party, a game, a meeting, a life	a party, a game (of chess: cuộc cờ); a meeting (cuộc mít-tinh); a contest (cuộc thi), an election (cuộc tuyễn cử), a revolution (cuộc cách-mạng), a life (cuôc đời), etc.	99	A
vụ	務	an unfortunate happening	an unfortunate happening (flood: vụ lụt; fire: vụ cháy; robbery: vụ trộm; an assassination: vụ ám sát; bomb raid: vụ ném bom)	116	A
cái	個 	an inanimate noun	an inanimate noun (tooth: cái răng)	118	A
phát	發	a shot, an injection	a shot (of firearm: phát súng); an injection (phát tiêm)	134	A
thứ	次	a kind, a sort, a category	a kind, sort, category (a language: thứ tiếng)	145	A
lời	𠳒	a word, an utterance, a statement	a word, an utterance, a statement (lời tuyên bố)	175	A
bản	版	a script	a script (song: bản hát/ca; musical composition: (bản nhạc; report: bản báo-cáo; resolution: bản quyết-nghị)	188	A
quả	果	a fruit or a round spheric object	a fruit, or a round, spheric object (heart: quả tim; kidney: quả thận; earth: quả đẩt; mountain: quả núi; pendulum: quả lắc; ball: quả bóng; bomb: quả bom; etc.)	195	A
đội	隊	a company, a detachment	a company, a detachment (of soldiers: đội lính)	197	A
phần	份	a part, section	a part, section	213	A
đạo		a law, an order, a decree	a law (đạo luật), an order (đạo nghị định), a decree (đạo sắc-lệnh), etc.	219	A
gian	間	a room	a room (gian buông/phòng)	239	A
bên	邊	a side, party	a side, party (in a lawsuit) (plaintiff: bên nguyên; defendant: bên bị)	260	A
thanh		a thin stick, a thin piece of material	a thin stick (of wood: thanh củi), a thin piece of material (a sword: thanh kiếm; a sabre: thanh gươm)	265	A
bao	包	a bagful	a bagful, container, package (of rice: bao gạo; of tea: bao chè; of cigarettes: bao thuôc lá)	272	A
cây	𣘃	a tree, a plant, a plantlike object	a tree or plant, a plantlike object, such as a candle cây nến	276	A
trận	陣	an outburst, a contest, a struggle, a war	an outburst (of rain: trận mưa), a contest, struggle, battle (war: trận chiến tranh)	281	A
chiếc	隻	one of a pair, a vehicle, a boat, a ship, an airplane, a bridge	one of a pair (of chopsticks: chiếc đũa), a vehicle (chiếc xe), a boat (chiếc thuyến), a ship (chiếc tầu), an airplane (chiếc máy bay), a bridge (chiếc cầu)	309	A
loại	類	a kind, sort	a kind, sort (of weapons: loại võ khí)	363	A
bài	牌	a lesson, a song, a speech	a lesson (bài học), a song (bài hát), a speech (bài diễn-văn), etc.	367	A
tấn		a play, a drama	a play, a drama (tấn kịch)	394	A
bàn	盤	a tableful	a tableful (of food: bàn tiệc); a hand (bàn tay), a foot (bàn chân) or a leaf-shaped object (iron for pressing clothes: bàn là; pedal: bàn đạp)	406	A
đàn	彈	a herd, a flock, a school	a herd (of buffaloes: đàn trâu, etc.), a flock (of birds: đàn chim, etc.), a school (of fish: đàn cá), a crowd (of people: đàn người, etc.)	457	A
ít		a small quantity	a small quantity (of salt: ít muối), a small number (of tools: ít đồ dùng; etc.) 	469	A
chương	章	a chapter	a chapter (of a book: chương sách)	545	B1
nạn	難	an accident; a disaster, a catastrophe, a danger	an accident; a disaster, catastrophe, danger, peril	550	B1
phong	封	a letter, an envelope, a small package	a letter—contained in an envelope (phong thư), a small package (of rice cake: phong bánh)	558	B1
cánh	𦑃	a wing	a wing (of a door: cánh cửa), a sail (cánh buồm), a field (cánh đồng)	583	B1
trái	𢁑, 𣛤, 𢁑, 𣡙, 𣡚, 𧀞	a fruit or a round spheric object	a fruit, or a round, spheric object (heart: trái tim; earth: trái đẩt;)	591	A
bức	逼	a wall, a partition, a curtain, a painting, a letter, a telegram	a wall (bức tường), partition (bức vách), curtain (bức màn), painting (bức tranh), letter (bức thư), telegram (bức điện-tín)	656	B1
bầu	匏	a gourdful	a gourdful (atmosphere: bầu không khí; blood: bầu máu nóng or nhiệt-huyết) 	661	B1
môn	門	a subject, a field, a specialty, an art	a subject, a field (of study: môn học); a specialty, an art	662	B1
nền	𡋂, 𡔒	an economic, political or cultural institution	an economic, political or cultural institution (culture (nền văn hóa; civilization: nển văn minh, freedom: nền tự do; democracy: nền dân chủ; independence: nền độc-lập; economy: nền kinh-tế; trade: nền thương-mại; industry: nền kỹ-nghệ, etc	671	B1
ngôi	桅	a grave, a star or a movie star, a house building, a temple	a grave (ngôi mở/mộ); a star or a movie star (ngôi sao) ; a house building (ngôi nhà) ; a temple (Buddhist: ngôi chùa)	705	A
lá	蘿, 𦲿	a leaf, a card, a sail, a flag	a leaf (of banana: lả chuối); a card (in games: lá bài); a sail (lá buồm), a flag (lá cờ), a lung (lá phổi); etc.	717	B1
đôi	對	a pair, a couple	a pair (of shoes: đôi giầy; of chopsticks: đôi đũa), a couple (husband and wife: đôi vợ chồng) 	773	A
tấm		a bolt, a board, a plank, a hide, a photograph, a mirror, a heart	a bolt (of cloth: tấm vải); a board, plank (tấm ván); a hide (tấm da), a photograph (tấm ảnh/hình) a mirror or an example (tấm gương), a heart (tấm lòng)	803	B1
mối		a sentiment or feeling, a relationship, a cause for, a danger, a threat	a sentiment or feeling (of love: mối tình), a relationship (mối quan hệ), a cause for (hope: mối hi-vọng; worry: mối lo-ngại), a danger (mối nguy hiểm), a threat (mối đe-dọa), etc.	832	B1
đoạn	段	a section, a paragraph, a passage	a section, paragraph, passage (of a book)	838	B1
tờ	詞 	a sheet, a newspaper	a sheet (of paper: tờ giấy), a newspaper (tờ báo)	856	B1
hạt	核	a grain, a seed	a grain, a seed (hạt giống), a drop (of rain: hạt mưa; etc.)	889	B1
hãng	行	a business firm	a business firm (hãng buôn)	890	B1
món		a sum, a debt, a dish or course of food, an item, a subject	a sum (of money: món tiền), a debt (món nơ), a dish or course of food (món ăn), an item (of merchandise: món hàng), a subject (of study: món học)	917	B1
vườn	園	a garden(ful)	a garden(ful) (of vegetables: vườn rau; of flowers: vườn hoa; of guavas: vườn ổi)	919	B1
khẩu	口	a mouthful	a mouthful (of sugar cane: khẩu mía)	932	B1
nắm		a handful, a fist, a ball	a handful (of raw rice: nám gạo), a fist (nắm tay— nắm đấm is more aggressive), a ball (of cooked rice: nám cơm)	960	B1
đám	𡌽	a crowd gathering for certain rituals, a cloud	a crowd (of people: đám người) gathering for certain rituals; a cloud (đảm mây; an agglomeration (of trees: đảm cây; of houses: đảm nhà, etc.)	969	B1
chuyến	轉	a trip, a round, a cartage, a train	a trip, a round, a cartage (chuyến đi, chuyến xe), a train (chuyến xe lửa)	977	B1
cục		small-roundish, heavy, undefined	small-roundish, heavy, undefined	984	A
chục		a group of ten	a group of ten (tangerines: chục quít)	991	B1
bụng		a bellyful	a bellyful (of glutinous rice: bụng cơm nếp) 	994	B1
tòa	座	a building	a building (big house: tòa nhà)	1000	B1
cuốn	卷	a fascicle, a book, a volume	a fascicle, a book, a volume (cuốn sách)	1024	B1
mũi	鋂, 鎇	an arrow, a lance	an arrow (mũi tên), a lance (mũi giáo)	1074	B1
ấm	𡓅, 𨯛	a kettleful, a potful	a kettleful (of water: ấm nước), a potful (of tea: ấm chè, or coffee: ẩm cà phê) 	1116	B1
cơn	干, 杆, 𩂀	a fit	a fit (of anger: cơn giận); a squall (of rain: cơn mưa), etc.	1117	B1
ôm	掩, 揞	a quantity that can be held in both arms	a quantity that can be held in both arms (armful of books: ôm sách)	1153	B1
bãi	𣺽, 𡌣, 𡓁	a flat expanse, a stretch, a beach, a spit	a flat expanse, stretch (of grass: bãi cỏ; sand: bãi cát), beach (bãi bễ); a spit (of betel saliva: bãi quét trấu)	1161	B1
thùng	從, 桶, 樁, 𥶀	a bucket, a can, a barrel	a bucket (of water: thùng nước); a can (of trash: thùng rác), a barrel (of wine: thùng rượu)	1251	B1
đỉnh	頂	a summit	a summit (of a mountain: đỉnh núi)	1289	B1
cành		a branch, a bough, a spray	a branch, bough (of tree: cành cầy), a spray (of flowers: cành hoa)	1298	B1
bữa	𩛷, 𣇊, 𣇜	a meal	a meal (bữa cơm), a banquet (bữa tiệc), a day (bữa sinh-nhật ‘birthday’)	1303	B1
ruộng	𤲌, 𤳽	a field—usually in a low spot	a field—usually in a low spot (of corn: ruộng ngô)	1375	B1
tầng	層	a storey	a storey (of a building: tầng gác)	1407	B1
góc	角	a corner, a piece	a corner, a piece (of a cake: góc bánh)	1423	B1
miếng	𠷦	a mouthful, a slice, a piece	a mouthful; a slice, a piece (of meat: miếng thịt)	1455	B1
miếng		a trick	a trick (of the art of fighting: miếng võ)	1455	B1
giấc	覺	a sleep, a nap	a sleep, a nap (giấc ngủ), a dream (giấc mơ/mộng)	1467	B1
ngọn		a mountain, a tree, a lamp, a flag	a mountain (ngọn núi), a tree (ngọn cây), a lamp (ngọn đèn), a flag (on pole: ngọn cờ), etc.	1469	B1
tô	𥗹	a bowlful (Southern VN)	a bowlful (of noodle soup: tô mì)	1482	B1
canh	更	watch, guard	watch, guard (of the night)	1483	B1
bầy	𠍣	a flock, herd	a flock, herd (of hunting dogs: bầy chó săn)	1505	B2
củ		a bulb, a tuber	a bulb (of onion: cù hành tây); a tuber (of manioc: cù sắn)	1516	A
gói		a package, a bundle, a pack	a package (given as a gift: gói quà), a bundle (of clothes : gói quần áo), a pack (of cigarettes: gói thuốc lá) 	1534	B2
cặp		a pair, a couple	a pair (of eyes: cặp mắt), a couple (unmarried; cặp trai gái; married: cặp vợ chồng; of lovers: cặp uyên ương)	1539	B2
khúc	曲	a portion, a section	a portion, section (of a fish: khúc cá; of a tree trunk: khúc gỗ); a section (of a river: khúc sông; of a road: khúc đường); a song or a piece of music (khúc nhạc) 	1549	B2
màn		a scene	a scene (of a play: màn kịch)	1550	B2
bậc	𨸾	a rank, a category, a step, a rung	a rank, category, step (of stairs), or rung (of ladder): bậc thang	1552	B2
hộp	盒	a boxful, a carton	a boxful, a carton (of candies: hộp kẹo; etc.)	1576	B2
bụi	蓓, 𦹷	a bush, a thicket	a bush, thicket (of bamboos: bụi tre; of trees: bụi cây, etc.)	1596	B2
mảnh		a piece, a small field, a small garden	a piece (of wood: mảnh gỗ; etc.), a small field (mảnh ruộng), a small garden (mảnh vườn)	1691	B2
